FID	GEOID10
1	37149WO06
2	37149SA04
3	37149TR123
4	37149CL07
5	37149GC09
6	37149CG05
7	37149CL08
8	3715916
9	3715920
10	3715944
11	3715909
12	3715945
13	3715903
14	3715913
15	3715914
16	3715946
17	3715907
18	3715941
19	37097CS
20	37097BA
21	37097CC3
22	37015C2
23	37015M1
24	37015C1
25	37015MH
26	37015W2
27	37015W1
28	37015M2
29	37015SN
30	3718903
31	3718904
32	3718913
33	3718917
34	3718909
35	3718912
36	3718905
37	3718915
38	3718920
39	3718919
40	3718914
41	3718907
42	3718918
43	3718910
44	3718911
45	3718901
46	3718908
47	3718902
48	3718916
49	3718906
50	3701112
51	3701101
52	3701103
53	3701102
54	37033PELH
55	37033LOCU
56	37033PROVI
57	37033STON
58	37033YAN2
59	3701105
60	3701109
61	3701118
62	3701119
63	3701110
64	3701104
65	3701117
66	37033YAN4
67	37033MILT
68	37033LEAS
69	37033HIGH
70	37033PROS
71	37033ANDE
72	37015WH
73	37015WD
74	37015RX
75	37015IW
76	3701106
77	3701108
78	3701114
79	3701113
80	3701116
81	3701115
82	3701107
83	3701111
84	3709362
85	3709301
86	3709302
87	3709363
88	3709306
89	3709305
90	3709313
91	3709312
92	3709303
93	3709361
94	3709365
95	3709364
96	3709304
97	3715932
98	3715925
99	3715927
100	3715911
101	3715910
102	3715933
103	3715917
104	3715921
105	3715902
106	3715924
107	3715930
108	3715904
109	3715929
110	3715934
111	3715908
112	3715931
113	3715915
114	3715923
115	3715919
116	3715905
117	3715936
118	3715918
119	3715926
120	3715922
121	3715901
122	3715938
123	3715942
124	3715906
125	3715939
126	3715912
127	3715928
128	3715935
129	3715940
130	37101PR26
131	37101PR24
132	37101PR20
133	37101PR09
134	37101PR01
135	37101PR22
136	37101PR21
137	37101PR25
138	37101PR27
139	37101PR28
140	37101PR10
141	37101PR19
142	37101PR12
143	37101PR13
144	37101PR30
145	37101PR06
146	37101PR08
147	37101PR05
148	37101PR14
149	37101PR16
150	37101PR15
151	37101PR02
152	37101PR07
153	37101PR04
154	37101PR18
155	37101PR29A
156	37101PR32
157	37101PR29B
158	37101PR34
159	37101PR11B
160	37101PR31B
161	37101PR31A
162	37101PR23
163	37101PR33
164	37101PR03
165	37101PR17
166	37101PR11A
167	37017P201
168	37017P10
169	37017P202
170	37017P40
171	37017P25
172	37017P30
173	37017P75
174	37017P60
175	37017P45
176	37017P80
177	37017P70
178	37017P15
179	37017P35
180	37017P501
181	37017P502
182	37017P65
183	37017P55
184	37087BC
185	37087CL-N
186	37087IH
187	37087ID
188	37087BE-2
189	37087JC
190	37087WS-2
191	37087WS-1
192	37087WO
193	37087WW
194	37087LJ
195	37087AC
196	37087PC
197	37087BE-1
198	37087P
199	37087FC-1
200	37087EF
201	37087CL-S
202	37087WE
203	37087BE56
204	37087CE
205	37087BE-3
206	37087BE-7
207	37087HA
208	37087SA
209	37083BUTWD
210	37083CONC
211	37083ENF-1
212	37083ENF-2
213	37083ENF-3
214	37083FAUCT
215	37083HAL
216	37083HOL
217	37083LIT-1
218	37083LIT-2
219	37083RINGW
220	37083ROSEN
221	37083RR-1
222	37083RR-10
223	37083RR-11
224	37083RR-2
225	37083RR-3
226	37083RR-4
227	37079BULL
228	37079SHIN
229	37079WALS
230	37079CAST
231	37079BEAR
232	37079MAUR
233	37079SH1
234	37079SUGG
235	37079ARBA
236	37079HOOK
237	37083RR-5
238	37083RR-6
239	37083RR-7
240	37083RR-8
241	37083RR-9
242	37083SN-1
243	37083SN-2
244	37083WEL-1
245	37083WEL-2
246	37083WEL-3
247	37083HOB
248	37083PAL
249	37087CR
250	37087BE-4
251	37087WC
252	37087FC-2
253	37043BRAS
254	37043WARN
255	37043HAY2
256	37043HIAW
257	37043SHCR
258	37043TUSQ
259	37043SWEE
260	37043HAY1
261	37043HAYC
262	37029SM
263	37029SH
264	37029CH
265	37053CI
266	37053GW
267	37053PP
268	37053WH
269	3704910
270	3704912
271	3704921
272	37053KI
273	37053CH
274	37053PB
275	37053CJ
276	37053CB
277	37053IR
278	37053MY
279	3704909
280	3704915
281	3704913
282	3704914
283	37049N4
284	3704907
285	37049N2
286	3704905
287	3704920
288	3704903
289	3704906
290	3704923
291	3704904
292	3704908
293	37049N1
294	37049N3
295	3704917
296	37049N5
297	3704919
298	3704922
299	3704911
300	37049N6
301	3704916
302	3704918
303	37075TAPO
304	37075STEC
305	37075WEST
306	37075EAST
307	3706350
308	3706313
309	3706322
310	3706353-2
311	3706339
312	3706343
313	3706324
314	3706346
315	3706306
317	3717122
318	3717119
319	3717107
320	3717126
321	3717133
322	3717101
323	3717116
324	3717123
325	3717124
326	3717111
327	3717106
328	3717103
329	3717127
330	3717112
331	3717128
332	3706319
333	3706344
334	3706323
335	3706317
336	3706337
337	3706338
338	3717105
339	3717118
340	3717109
341	3706345
342	3706325
343	3706307
344	3706308
345	3706330-2
346	3706332
347	3706329
348	3706305
349	3706326
350	3706302
351	3706348
352	3706352
353	3706318
354	3706335
355	3706347
356	3706333
357	37085PR20
358	37085PR24
359	37085PR23
360	37085PR25
361	37085PR29
362	37085PR01
363	37085PR08
364	37085PR26
365	37085PR17
366	37085PR16
367	37085PR27
368	37085PR07
369	37085PR28
370	3706353-1
371	3706330-1
372	3706331
373	3706351
374	3706327
375	3706340
376	3706354
377	3706316
378	3706312
379	3706342
380	3706341
381	3706355
382	3706314
383	3706315
384	3706301
385	3706320
386	3706321
387	3706310
388	3706304
389	3706303
390	3717110
391	3717117
392	3717104
393	3717108
394	3717125
395	3706309
396	3706334
397	3706328
398	3706336
399	3717113
400	3717102
401	3717114
402	3717121
403	3717115
404	371270002
405	371270032
406	371270034
407	371270011
408	371270006
409	371270001
410	3703521
411	3703520
412	3703522
413	3703506
414	3703517
415	3703526
416	3703519
417	3703507
418	3703515
419	3703533
